halt_punkt_id,halt_punkt_diva,halt_id,GPS_Latitude,GPS_Longitude,GPS_Bearing,halt_punkt_ist_aktiv
10990,4,1938,"47,376860","8,543532",266,False
10991,50,2659,"47,336421","8,575136",109,True
10992,50,2471,"47,368530","8,632608",88,True
10996,90,2120,"47,322398","8,659595",310,True
10997,2,1938,"47,376464","8,543627",178,False
10998,0,1895,"47,375966","8,539348",201,False
11001,1,1543,"47,396276","8,544508",283,False
11002,4,1565,"47,367069","8,544453",264,False
11003,2,2111,"47,366212","8,548167",58,False
11004,50,1456,"47,395446","8,604253",80,True
11005,51,2431,"47,360883","8,632662",212,True
11006,50,2475,"47,412102","8,453807",104,True
11007,50,2436,"47,359203","8,624602",132,True
11009,81,1543,"47,396263","8,543903",,True
11011,50,2865,"47,323386","8,582452",180,True
11015,0,2299,"47,391562","8,521499",115,False
11018,50,2443,"47,351323","8,641197",108,True
11020,1,1406,"47,366341","8,562123",318,False
11024,1,2260,"47,386128","8,548259",324,False
11026,51,1706,"47,398628","8,620366",225,False
11027,2,2572,"47,393964","8,505530",285,False
11028,21,1580,"47,406174","8,591092",220,True
11029,0,2083,"47,417136","8,568511",271,False
11031,51,2659,"47,336454","8,575374",289,True
11034,50,2624,"47,378722","8,575508",228,True
11035,50,2158,"47,313753","8,534166",60,False
11036,50,1679,"47,384063","8,659458",119,True
11037,1,1504,"47,398155","8,542165",26,False
11038,20,1571,"47,405404","8,481754",177,True
11039,11,1310,"47,390798","8,479416",12,True
11040,51,2145,"47,338214","8,530076",177,False
11042,1,1873,"47,416919","8,545499",19,False
11043,1,2104,"47,365608","8,547397",315,False
11045,50,2427,"47,354694","8,635290",102,True
11046,0,1908,"47,369432","8,506163",260,False
11050,51,2583,"47,332014","8,579620",343,True
11052,1,2845,"47,376465","8,559531",32,False
11053,11,2473,"47,362291","8,574191",186,True
11055,1,2274,"47,390888","8,545442",347,False
11056,51,2406,"47,402307","8,553382",54,True
11058,1,2750,"47,393711","8,512098",273,True
11059,51,2649,"47,319596","8,584593",338,True
11062,51,2663,"47,318410","8,582240",253,True
11063,51,2549,"47,328989","8,605990",227,True
11066,50,2604,"47,354286","8,552974",138,False
11067,0,2845,"47,376237","8,559259",213,False
11068,52,2059,"47,398004","8,417731",359,True
11069,1,2092,"47,350779","8,584071",127,False
11071,1,2262,"47,376002","8,533909",222,False
11072,2,2092,"47,351011","8,583309",284,False
11074,1,2256,"47,375829","8,537192",252,False
11075,50,2480,"47,427698","8,398076",161,True
11077,1,2571,"47,372494","8,550548",342,False
11079,2,1557,"47,371611","8,524056",125,False
11080,1,2413,"47,360895","8,531577",358,False
11081,50,2250,"47,376594","8,513991",131,True
11082,0,1893,"47,364077","8,531462",183,False
11084,3,1931,"47,420943","8,557065",31,False
11085,0,1309,"47,398068","8,533396",164,False
11086,0,2699,"47,381704","8,571659",199,False
11087,1,2614,"47,395447","8,518889",286,True
11088,51,2891,"47,363086","8,519451",38,True
11090,51,2790,"47,340741","8,575836",251,True
11091,51,2550,"47,358764","8,516108",47,True
11092,50,2790,"47,340774","8,576088",69,False
11093,50,2715,"47,382088","8,598796",233,True
11095,50,2458,"47,380498","8,652039",354,True
11098,52,2549,"47,328866","8,605669",49,True
11099,1,2731,"47,402196","8,496241",271,False
11100,22,1934,"47,419739","8,547796",37,False
11102,50,2464,"47,343100","8,660943",96,True
11103,0,2300,"47,409550","8,548458",105,True
11104,51,2548,"47,327830","8,602273",237,True
11105,51,2795,"47,345727","8,588224",254,True
11107,3,1557,"47,371448","8,524539",308,False
11108,0,1905,"47,364034","8,566205",30,True
11109,51,2628,"47,340558","8,572484",305,True
11110,21,1843,"47,410279","8,479743",187,False
11115,50,2729,"47,405948","8,581243",243,True
11117,2,2113,"47,361600","8,561202",126,True
11118,3,1531,"47,367683","8,560089",232,False
11119,1,2315,"47,393779","8,544993",2,False
11120,51,2462,"47,362795","8,617308",272,True
11121,0,1308,"47,377177","8,547499",249,False
11122,0,1534,"47,372391","8,526657",208,False
11123,0,2023,"47,337386","8,531065",1,True
11125,0,2035,"47,372941","8,538262",179,False
11126,1,2774,"47,372234","8,542832",355,False
11127,51,2864,"47,321646","8,586502",306,True
11130,50,2549,"47,329058","8,606256",232,True
11132,1,2799,"47,375108","8,552786",36,False
11134,50,2474,"47,339934","8,677849",230,False
11136,52,2455,"47,340216","8,669148",69,True
11137,2,2302,"47,380018","8,544109",171,False
11139,91,2120,"47,322298","8,659699",115,True
11141,51,2525,"47,368692","8,644714",297,True
11142,81,2815,"47,403240","8,587623",276,False
11143,1,2289,"47,380096","8,537661",347,True
11144,50,2447,"47,364313","8,620228",15,True
11147,1,2701,"47,379322","8,559814",74,False
11151,50,1706,"47,398388","8,620082",43,True
11152,1,2854,"47,369971","8,543429",340,False
11153,50,2698,"47,383458","8,586906",250,True
11155,1,2292,"47,389068","8,546306",340,False
11156,0,2228,"47,368000","8,539908",162,False
11157,0,1574,"47,389979","8,523586",137,True
11159,50,2864,"47,321455","8,586683",144,True
11161,51,1504,"47,397278","8,541301",,True
11162,51,2654,"47,389683","8,596802",357,True
11163,53,2103,"47,346324","8,604119",116,False
11164,51,2315,"47,393689","8,545042",2,True
11165,0,2251,"47,373361","8,521525",302,False
11166,51,2375,"47,403564","8,557317",64,True
11170,11,2749,"47,394494","8,525626",28,True
11171,53,1005,"47,287609","8,561591",132,True
11174,4,1528,"47,369699","8,539333",163,False
11175,1,2083,"47,416564","8,568671",108,False
11176,50,2583,"47,332006","8,579514",160,True
11177,2,2845,"47,376594","8,559740",266,False
11178,11,2646,"47,374100","8,513292",319,True
11179,1,2791,"47,378700","8,564384",102,False
11180,50,1905,"47,363804","8,566690",51,True
11181,1,2712,"47,392659","8,523336",296,False
11182,51,2443,"47,351413","8,641173",271,True
11183,51,2729,"47,405944","8,581560",73,True
11185,11,2730,"47,389158","8,494708",292,True
11186,1,2293,"47,383340","8,548222",3,False
11189,90,1829,"47,411017","8,544398",,True
11190,80,2626,"47,386557","8,495915",26,True
11192,81,2769,"47,381078","8,492032",206,True
11193,2,1938,"47,376465","8,543610",178,False
11195,80,2609,"47,417065","8,538296",184,True
11196,22,1934,"47,419760","8,547863",158,False
11197,3,2302,"47,380301","8,544084",357,False
11204,1,2090,"47,406369","8,537903",13,False
11205,0,2313,"47,406051","8,548378",172,False
11206,80,2769,"47,380953","8,491989",206,True
11207,6,1565,"47,366629","8,545449",55,False
11208,80,2245,"47,380972","8,503631",,True
11209,2,1305,"47,370227","8,548898",203,False
11211,12,2563,"47,396071","8,520912",115,False
11213,6,1502,"47,372863","8,529197",165,True
11214,81,2518,"47,410558","8,455367",106,True
11215,1,2111,"47,366148","8,547263",230,False
11217,21,1934,"47,419975","8,547776",332,False
11218,1,2047,"47,383151","8,543476",355,False
11220,2,2414,"47,367767","8,534915",255,False
11221,0,1528,"47,369594","8,539233",149,False
11222,2,2111,"47,366212","8,548167",,False
11225,53,2103,"47,346324","8,604119",,True
11226,1,2087,"47,388278","8,539217",347,False
11227,1,1829,"47,411473","8,544882",65,False
11229,1,2104,"47,365520","8,547523",315,False
11230,0,1504,"47,397433","8,541601",201,True
11232,1,2524,"47,370927","8,531483",305,False
11234,0,1542,"47,377305","8,541629",191,False
11235,1,1309,"47,398447","8,533338",345,False
11236,1,2509,"47,385339","8,542463",335,False
11237,0,2289,"47,379769","8,537407",190,True
11238,0,2183,"47,359696","8,522539",207,True
11241,0,2254,"47,383816","8,491341",356,True
11242,51,2096,"47,336090","8,617988",,False
11243,1,1539,"47,392383","8,538922",10,False
11244,0,2089,"47,408578","8,539123",,False
11246,1,2414,"47,368023","8,536152",60,False
11248,1,2228,"47,368368","8,539815",346,False
11249,1,2113,"47,361872","8,560441",286,False
11250,0,1539,"47,391516","8,538833",172,False
11251,2,1528,"47,369685","8,538616",205,False
11252,0,2086,"47,384241","8,540157",147,False
11253,0,1534,"47,372391","8,526657",211,False
11254,1,1311,"47,409967","8,546241",349,False
11255,22,2580,"47,398049","8,494596",191,True
11256,50,2158,"47,313753","8,534166",236,False
11258,5,1528,"47,370068","8,539254",344,False
11259,0,1829,"47,411343","8,544516",63,False
11260,3,1539,"47,392311","8,538363",343,False
11261,1,2089,"47,408801","8,539434",35,False
11262,1,2731,"47,402168","8,496410",271,False
11264,0,2299,"47,391493","8,521458",115,True
11265,3,1557,"47,371413","8,524546",279,False
